"geo","time","sector","GVA"
"FR",2010,"Basic metals",6829.8
"FR",2010,"Chemical and petrochem.",23851.5
"FR",2010,"Coke and ref. pet. products",1711.8
"FR",2010,"Construction",107679
"FR",2010,"Food, bev. and tobacco",32338.9
"FR",2010,"Machinery",50692.6
"FR",2010,"Mining and quarrying",2374.2
"FR",2010,"Non-metallic minerals",17348.6
"FR",2010,"Other manufacturing",7555.5
"FR",2010,"Paper, pulp and printing",8451.2
"FR",2010,"Textile and leather",5235.8
"FR",2010,"Transport equipment",26391.3
"FR",2010,"Wood and wood products",3098
"FR",2011,"Basic metals",6895.8
"FR",2011,"Chemical and petrochem.",24812.7
"FR",2011,"Coke and ref. pet. products",1656.1
"FR",2011,"Construction",106408.9
"FR",2011,"Food, bev. and tobacco",33738.4
"FR",2011,"Machinery",52486.2
"FR",2011,"Mining and quarrying",2365.8
"FR",2011,"Non-metallic minerals",19374.1
"FR",2011,"Other manufacturing",7483.8
"FR",2011,"Paper, pulp and printing",8931.1
"FR",2011,"Textile and leather",5938.7
"FR",2011,"Transport equipment",25907
"FR",2011,"Wood and wood products",3371
"FR",2012,"Basic metals",6569.4
"FR",2012,"Chemical and petrochem.",25402
"FR",2012,"Coke and ref. pet. products",1418.3
"FR",2012,"Construction",101019
"FR",2012,"Food, bev. and tobacco",33339.6
"FR",2012,"Machinery",52422.2
"FR",2012,"Mining and quarrying",2214.8
"FR",2012,"Non-metallic minerals",18648.5
"FR",2012,"Other manufacturing",7184.2
"FR",2012,"Paper, pulp and printing",9125.5
"FR",2012,"Textile and leather",5997.2
"FR",2012,"Transport equipment",24951.3
"FR",2012,"Wood and wood products",3235.2
"FR",2013,"Basic metals",7632.3
"FR",2013,"Chemical and petrochem.",26914.4
"FR",2013,"Coke and ref. pet. products",1342.8
"FR",2013,"Construction",101909.2
"FR",2013,"Food, bev. and tobacco",33250.8
"FR",2013,"Machinery",53843.8
"FR",2013,"Mining and quarrying",2017
"FR",2013,"Non-metallic minerals",17795.1
"FR",2013,"Other manufacturing",6882.1
"FR",2013,"Paper, pulp and printing",9047.4
"FR",2013,"Textile and leather",5679.8
"FR",2013,"Transport equipment",24218.3
"FR",2013,"Wood and wood products",3350.9
"FR",2014,"Basic metals",6880.6
"FR",2014,"Chemical and petrochem.",27782
"FR",2014,"Coke and ref. pet. products",2674.2
"FR",2014,"Construction",99519.1
"FR",2014,"Food, bev. and tobacco",34160.1
"FR",2014,"Machinery",54046.3
"FR",2014,"Mining and quarrying",2126.8
"FR",2014,"Non-metallic minerals",17730.2
"FR",2014,"Other manufacturing",6922.3
"FR",2014,"Paper, pulp and printing",9380.9
"FR",2014,"Textile and leather",5242.5
"FR",2014,"Transport equipment",24353.3
"FR",2014,"Wood and wood products",3277.8
"FR",2015,"Basic metals",7449.6
"FR",2015,"Chemical and petrochem.",28630.3
"FR",2015,"Coke and ref. pet. products",2888
"FR",2015,"Construction",99085.8
"FR",2015,"Food, bev. and tobacco",34772.8
"FR",2015,"Machinery",52991.8
"FR",2015,"Mining and quarrying",1917.8
"FR",2015,"Non-metallic minerals",18080.2
"FR",2015,"Other manufacturing",6662.7
"FR",2015,"Paper, pulp and printing",9257.3
"FR",2015,"Textile and leather",5467.4
"FR",2015,"Transport equipment",24030.3
"FR",2015,"Wood and wood products",3096
"FR",2016,"Basic metals",8240.6
"FR",2016,"Chemical and petrochem.",29711.4
"FR",2016,"Coke and ref. pet. products",3115.3
"FR",2016,"Construction",97514.4
"FR",2016,"Food, bev. and tobacco",35548.7
"FR",2016,"Machinery",51832.2
"FR",2016,"Mining and quarrying",1853.8
"FR",2016,"Non-metallic minerals",17905.2
"FR",2016,"Other manufacturing",6362.8
"FR",2016,"Paper, pulp and printing",9210.6
"FR",2016,"Textile and leather",5438.2
"FR",2016,"Transport equipment",24439.6
"FR",2016,"Wood and wood products",3198.5
"FR",2017,"Basic metals",8461.8
"FR",2017,"Chemical and petrochem.",30849.7
"FR",2017,"Coke and ref. pet. products",3039.8
"FR",2017,"Construction",99661.6
"FR",2017,"Food, bev. and tobacco",36483.8
"FR",2017,"Machinery",52500.3
"FR",2017,"Mining and quarrying",1927.3
"FR",2017,"Non-metallic minerals",18086.8
"FR",2017,"Other manufacturing",6239.2
"FR",2017,"Paper, pulp and printing",9205.7
"FR",2017,"Textile and leather",5635.8
"FR",2017,"Transport equipment",25509.5
"FR",2017,"Wood and wood products",3325.1
"FR",2018,"Basic metals",6829.3
"FR",2018,"Chemical and petrochem.",31315.5
"FR",2018,"Coke and ref. pet. products",3599.3
"FR",2018,"Construction",99817.8
"FR",2018,"Food, bev. and tobacco",36277.1
"FR",2018,"Machinery",52949.6
"FR",2018,"Mining and quarrying",1959.4
"FR",2018,"Non-metallic minerals",18805.6
"FR",2018,"Other manufacturing",6325.5
"FR",2018,"Paper, pulp and printing",8905.2
"FR",2018,"Textile and leather",5956.3
"FR",2018,"Transport equipment",27972.5
"FR",2018,"Wood and wood products",3021.8
"FR",2019,"Basic metals",7027.4
"FR",2019,"Chemical and petrochem.",33423.7
"FR",2019,"Coke and ref. pet. products",3500.5
"FR",2019,"Construction",102680.6
"FR",2019,"Food, bev. and tobacco",36486.1
"FR",2019,"Machinery",54569.3
"FR",2019,"Mining and quarrying",1922.9
"FR",2019,"Non-metallic minerals",18919.1
"FR",2019,"Other manufacturing",6533.1
