"geo","time","product","energy_consumption","share_energy_consumption"
"IT",2014,"Biofuels and renewable wastes",13238,0.0103731137717351
"IT",2014,"Non-renewable wastes",11385,0.0089211285912679
"IT",2014,"Wind, solar, geothermal, etc.",458,0.000358882467703179
"IT",2014,"Heat",158326,0.124062064588589
"IT",2014,"Electricity",440996.4,0.345558681834538
"IT",2015,"Coal",32232.95,0.0245073666104498
"IT",2015,"Oil",255492.6,0.194256213423128
"IT",2015,"Gas",391284,0.297501173079202
"IT",2015,"Biofuels and renewable wastes",16371,0.0124472038327139
"IT",2015,"Non-renewable wastes",11244,0.00854904159153593
"IT",2015,"Wind, solar, geothermal, etc.",480,0.000364953749905483
"IT",2015,"Heat",167649,0.127466940037301
"IT",2015,"Electricity",440481.6,0.334907107675764
"IT",2016,"Coal",38810.511,0.0298942029280249
"IT",2016,"Oil",220303.4,0.169691003175244
"IT",2016,"Gas",397301.4,0.306025568052644
"IT",2016,"Biofuels and renewable wastes",15923,0.0122648576624755
"IT",2016,"Non-renewable wastes",11575,0.0089157650846671
"IT",2016,"Wind, solar, geothermal, etc.",517,0.000398224669440423
"IT",2016,"Heat",171993,0.132479411162605
"IT",2016,"Electricity",441838.8,0.340330967264899
"IT",2017,"Coal",29487.977,0.0222569553169815
"IT",2017,"Oil",210005.216,0.158507879629893
"IT",2017,"Gas",427741.68,0.322851155878567
"IT",2017,"Biofuels and renewable wastes",15910.97,0.0120092927480184
"IT",2017,"Non-renewable wastes",10263.786,0.00774690737126729
"IT",2017,"Wind, solar, geothermal, etc.",531.268,0.000400990822033744
"IT",2017,"Heat",179078.234,0.135164791141215
"IT",2017,"Electricity",451869.048,0.341062027092024
"IT",2018,"Coal",34740.501,0.0263755177556578
"IT",2018,"Oil",210329.666,0.159685487555996
"IT",2018,"Gas",425187.194,0.322808596940653
"IT",2018,"Biofuels and renewable wastes",16506.067,0.0125316575956857
"IT",2018,"Non-renewable wastes",10560.167,0.00801743970851808
"IT",2018,"Wind, solar, geothermal, etc.",503.046,0.000381920188914738
"IT",2018,"Heat",164186.82,0.12465313572061
"IT",2018,"Electricity",455136.076,0.345546244533964
"IT",2019,"Coal",31864.152,0.0240781851637218
"IT",2019,"Oil",200516.192,0.151520304048901
"IT",2019,"Gas",417595.938,0.31555687779741
"IT",2019,"Biofuels and renewable wastes",17193.572,0.0129923435665817
"IT",2019,"Non-renewable wastes",11873.585,0.00897228892792093
"IT",2019,"Wind, solar, geothermal, etc.",538.812,0.000407153942287096
"IT",2019,"Heat",177935.526,0.134457196357594
"IT",2019,"Electricity",465844.087,0.352015650195584
"IT",2020,"Coal",22942.806,0.0181686685082238
"IT",2020,"Oil",184159.052,0.145837643772813
"IT",2020,"Gas",395169.958,0.312939575538873
"IT",2020,"Biofuels and renewable wastes",17731.625,0.014041875119248
"IT",2020,"Non-renewable wastes",13084.408,0.0103616912237479
"IT",2020,"Wind, solar, geothermal, etc.",485.037,0.000384106306230517
"IT",2020,"Heat",175889.485,0.13928887979296
"IT",2020,"Electricity",453305.233,0.358977559737904
"IT",2021,"Coal",18390.943,0.0125691836571287
"IT",2021,"Oil",218700.914,0.149469875147125
"IT",2021,"Gas",568889.989,0.388804573666663
"IT",2021,"Biofuels and renewable wastes",20182.618,0.0137936935764344
"IT",2021,"Non-renewable wastes",11959.216,0.00817345702715035
"IT",2021,"Wind, solar, geothermal, etc.",495.757,0.000338822255188716
"IT",2021,"Heat",133898.045,0.0915118446582906
"IT",2021,"Electricity",490659.722,0.335338550012019
