"geo","time","activity_effect","structural_effect","intensity_effect","energy_consumption_var_obs","value_energy_consumption_total_baseline","value_energy_consumption_total_end","energy_consumption_var_calc"
"NL",2012,0,0,0,22309.233,427763.936,450073.169,0
"NL",2013,0,0,0,0,427763.936,427763.936,0
"NL",2014,1345.43478783949,0,-34334.7907878395,-32989.356,427763.936,394774.58,-32989.356
"NL",2015,7339.59661004886,0,-36659.0606100489,-29319.464,427763.936,398444.472,-29319.464
"NL",2016,18615.2001680527,0,-47411.4341680527,-28796.234,427763.936,398967.702,-28796.234
