"geo","time","VKM","mode"
"CZ",2012,66000,"Navigation"
"CZ",2012,162652000,"Rail"
"CZ",2012,NA,"Road"
"CZ",2013,45000,"Navigation"
"CZ",2013,156872000,"Rail"
"CZ",2013,4.7156e+10,"Road"
"CZ",2014,47000,"Navigation"
"CZ",2014,155390000,"Rail"
"CZ",2014,4.8335e+10,"Road"
"CZ",2015,46000,"Navigation"
"CZ",2015,157295000,"Rail"
"CZ",2015,5.0934e+10,"Road"
"CZ",2016,47000,"Navigation"
"CZ",2016,159423000,"Rail"
"CZ",2016,5.2775e+10,"Road"
