"geo","time","activity_effect","structural_effect","intensity_effect","energy_consumption_var_obs","value_energy_consumption_total_baseline","value_energy_consumption_total_end","energy_consumption_var_calc"
"CZ",2012,0,0,0,0,9403.312,9403.312,0
"CZ",2013,-335.868500802778,-47.6799654884083,101.080466291186,-282.468000000001,9403.312,9120.844,-282.468000000001
"CZ",2014,-423.762589289688,-48.4811731267794,187.364762416465,-284.879000000003,9403.312,9118.433,-284.879000000003
"CZ",2015,-312.25931815477,-54.0247562055423,152.336074360309,-213.948000000002,9403.312,9189.364,-213.948000000004
"CZ",2016,-189.005416186666,-60.4587673034603,192.351183490123,-57.113000000003,9403.312,9346.199,-57.1130000000035
