"geo","time","sector","energy_consumption"
"IT",2010,"Basic metals",190644.186
"IT",2010,"Chemical and petrochem.",177589.206
"IT",2010,"Coke and ref. pet. products",294245.8
"IT",2010,"Construction",8491.2
"IT",2010,"Food, bev. and tobacco",116287.3
"IT",2010,"Machinery",163139.4
"IT",2010,"Mining and quarrying",21686.6
"IT",2010,"Non-metallic minerals",249024.502
"IT",2010,"Other manufacturing",148075.1
"IT",2010,"Paper, pulp and printing",100978.2
"IT",2010,"Textile and leather",56112
"IT",2010,"Transport equipment",20809.8
"IT",2010,"Wood and wood products",19464.8
"IT",2011,"Basic metals",203408.04
"IT",2011,"Chemical and petrochem.",171591.12
"IT",2011,"Coke and ref. pet. products",299884.6
"IT",2011,"Construction",18141.2
"IT",2011,"Food, bev. and tobacco",114114.5
"IT",2011,"Machinery",153980.4
"IT",2011,"Mining and quarrying",20702.8
"IT",2011,"Non-metallic minerals",244577.78
"IT",2011,"Other manufacturing",128781.2
"IT",2011,"Paper, pulp and printing",94042
"IT",2011,"Textile and leather",49876.6
"IT",2011,"Transport equipment",17407
"IT",2011,"Wood and wood products",19921.6
"IT",2012,"Basic metals",203090.196
"IT",2012,"Chemical and petrochem.",172174.356
"IT",2012,"Coke and ref. pet. products",259678.1
"IT",2012,"Construction",16029.2
"IT",2012,"Food, bev. and tobacco",112065.5
"IT",2012,"Machinery",146091.6
"IT",2012,"Mining and quarrying",19191.4
"IT",2012,"Non-metallic minerals",225915.592
"IT",2012,"Other manufacturing",105971.9
"IT",2012,"Paper, pulp and printing",98634.1
"IT",2012,"Textile and leather",50279.6
"IT",2012,"Transport equipment",15711.4
"IT",2012,"Wood and wood products",18080.4
"IT",2013,"Basic metals",178221.148
"IT",2013,"Chemical and petrochem.",173192
"IT",2013,"Coke and ref. pet. products",224378.3
"IT",2013,"Construction",15127.5
"IT",2013,"Food, bev. and tobacco",111248.8
"IT",2013,"Machinery",140513.9
"IT",2013,"Mining and quarrying",18146.6
"IT",2013,"Non-metallic minerals",208675.59
"IT",2013,"Other manufacturing",96660.3
"IT",2013,"Paper, pulp and printing",84577.7
"IT",2013,"Textile and leather",48845.8
"IT",2013,"Transport equipment",15276
"IT",2013,"Wood and wood products",16900.8
"IT",2014,"Basic metals",180545.664
"IT",2014,"Chemical and petrochem.",155861.94
"IT",2014,"Coke and ref. pet. products",194748.3
"IT",2014,"Construction",14764.9
"IT",2014,"Food, bev. and tobacco",114599
"IT",2014,"Machinery",138789.2
"IT",2014,"Mining and quarrying",18303.3
"IT",2014,"Non-metallic minerals",187851.31
"IT",2014,"Other manufacturing",96160.11
"IT",2014,"Paper, pulp and printing",93944
"IT",2014,"Textile and leather",47628.9
"IT",2014,"Transport equipment",15657
"IT",2014,"Wood and wood products",17330.2
"IT",2015,"Basic metals",175952.222
"IT",2015,"Chemical and petrochem.",137829.77
"IT",2015,"Coke and ref. pet. products",229132.2
"IT",2015,"Construction",14648
"IT",2015,"Food, bev. and tobacco",113368.4
"IT",2015,"Machinery",140541.1
"IT",2015,"Mining and quarrying",18143.2
"IT",2015,"Non-metallic minerals",208110.688
"IT",2015,"Other manufacturing",96040.97
"IT",2015,"Paper, pulp and printing",99326.7
"IT",2015,"Textile and leather",46325.6
"IT",2015,"Transport equipment",16683.8
"IT",2015,"Wood and wood products",19132.5
"IT",2016,"Basic metals",182177.23
"IT",2016,"Chemical and petrochem.",146807.4
"IT",2016,"Coke and ref. pet. products",202132.4
"IT",2016,"Construction",14852.7
"IT",2016,"Food, bev. and tobacco",118236.6
"IT",2016,"Machinery",142721.2
"IT",2016,"Mining and quarrying",18671.7
"IT",2016,"Non-metallic minerals",193511.581
"IT",2016,"Other manufacturing",99114
"IT",2016,"Paper, pulp and printing",96884.5
"IT",2016,"Textile and leather",45995.1
"IT",2016,"Transport equipment",17550
"IT",2016,"Wood and wood products",19607.7
"IT",2017,"Basic metals",182507.558
"IT",2017,"Chemical and petrochem.",152991.819
"IT",2017,"Coke and ref. pet. products",228028.61
"IT",2017,"Construction",15931.544
"IT",2017,"Food, bev. and tobacco",119453.824
"IT",2017,"Machinery",146606.264
"IT",2017,"Mining and quarrying",20834.038
"IT",2017,"Non-metallic minerals",175556.286
"IT",2017,"Other manufacturing",100662.787
"IT",2017,"Paper, pulp and printing",95725.98
"IT",2017,"Textile and leather",48702.344
"IT",2017,"Transport equipment",17581.35
"IT",2017,"Wood and wood products",20305.773
"IT",2018,"Basic metals",185049.704
"IT",2018,"Chemical and petrochem.",152653.325
"IT",2018,"Coke and ref. pet. products",231435.734
"IT",2018,"Construction",15000.822
"IT",2018,"Food, bev. and tobacco",117243.26
"IT",2018,"Machinery",145575.413
"IT",2018,"Mining and quarrying",21989.169
"IT",2018,"Non-metallic minerals",179987.49
"IT",2018,"Other manufacturing",96921.65
"IT",2018,"Paper, pulp and printing",86284.474
"IT",2018,"Textile and leather",47172.298
"IT",2018,"Transport equipment",17145.806
"IT",2018,"Wood and wood products",20690.39
"IT",2019,"Basic metals",182239.792
"IT",2019,"Chemical and petrochem.",146368.719
"IT",2019,"Coke and ref. pet. products",231150.024
"IT",2019,"Construction",16324.817
"IT",2019,"Food, bev. and tobacco",116711.114
"IT",2019,"Machinery",146361.355
"IT",2019,"Mining and quarrying",18816.844
"IT",2019,"Non-metallic minerals",177394.317
"IT",2019,"Other manufacturing",117617.589
"IT",2019,"Paper, pulp and printing",86154.098
"IT",2019,"Textile and leather",46794.993
"IT",2019,"Transport equipment",17159.081
"IT",2019,"Wood and wood products",20269.117
"IT",2020,"Basic metals",162588.523
"IT",2020,"Chemical and petrochem.",142792.816
"IT",2020,"Coke and ref. pet. products",215705.279
"IT",2020,"Construction",15745.139
"IT",2020,"Food, bev. and tobacco",115736.149
"IT",2020,"Machinery",137253.982
"IT",2020,"Mining and quarrying",16244.924
"IT",2020,"Non-metallic minerals",176663.395
"IT",2020,"Other manufacturing",114534.761
"IT",2020,"Paper, pulp and printing",85429.946
"IT",2020,"Textile and leather",41740.235
"IT",2020,"Transport equipment",18168.583
