"geo","time","mode","energy_consumption"
"RO",2012,"Navigation",1782.27
"RO",2012,"Rail",11853.37
"RO",2012,"Road",206722.518
"RO",2013,"Navigation",1739.835
"RO",2013,"Rail",10664.635
"RO",2013,"Road",202742.221
"RO",2014,"Navigation",1570.095
"RO",2014,"Rail",8139.145
"RO",2014,"Road",209551.941
"RO",2015,"Navigation",1824.705
"RO",2015,"Rail",8391.485
"RO",2015,"Road",211778.505
"RO",2016,"Navigation",1697.4
"RO",2016,"Rail",8152.98
"RO",2016,"Road",229103.128
