"geo","time","measure","value"
"FR",2011,"total_bal",1667756.064
"FR",2011,"total_pop",65127852
"FR",2011,"total_res",1667756.064
"FR",2011,"total_res_corrected",1873150.28575512
"FR",2011,"water_heating",177616.206
"FR",2012,"CDD",45.38
"FR",2012,"CDD_norm",1.05789999138468
"FR",2012,"HDD",2439.28
"FR",2012,"HDD_norm",1.00417027285177
"FR",2012,"HH_size",2.2
"FR",2012,"cooking",98246.902
"FR",2012,"dwelling_per_cap",0.454545454545455
"FR",2012,"energy_per_dwelling",0.0620295232073233
"FR",2012,"light_appliances",256094.628
"FR",2012,"occupied_dwellings",29744848.6363636
"FR",2012,"other",NA
"FR",2012,"space_cooling",3959.912
"FR",2012,"space_cooling_corrected",3743.18180569874
"FR",2012,"space_heating",1297061.356
"FR",2012,"space_heating_corrected",1291674.71998194
"FR",2012,"temperature_correction",1.00303695810496
"FR",2012,"total_bal",1850662.145
"FR",2012,"total_pop",65438667
"FR",2012,"total_res",1850662.145
"FR",2012,"total_res_corrected",1845058.77878764
"FR",2012,"water_heating",175815.814
"FR",2013,"CDD",42.27
"FR",2013,"CDD_norm",0.985399573288466
"FR",2013,"HDD",2637.51
"FR",2013,"HDD_norm",1.08577495668774
"FR",2013,"HH_size",2.2
"FR",2013,"cooking",95187.477
"FR",2013,"dwelling_per_cap",0.454545454545455
"FR",2013,"energy_per_dwelling",0.0612894152075696
"FR",2013,"light_appliances",260801.056
"FR",2013,"occupied_dwellings",29896049.5454545
"FR",2013,"other",NA
"FR",2013,"space_cooling",4155.249
"FR",2013,"space_cooling_corrected",4216.81631760113
"FR",2013,"space_heating",1389627.032
"FR",2013,"space_heating_corrected",1279848.11533983
"FR",2013,"temperature_correction",1.0598792048788
"FR",2013,"total_bal",1942028.743
"FR",2013,"total_pop",65771309
"FR",2013,"total_res",1942028.743
"FR",2013,"total_res_corrected",1832311.39365744
"FR",2013,"water_heating",177542.407
"FR",2014,"CDD",17.33
"FR",2014,"CDD_norm",0.403997506626191
"FR",2014,"HDD",2080.89
"FR",2014,"HDD_norm",0.856633055276363
"FR",2014,"HH_size",2.2
"FR",2014,"cooking",91685.214
"FR",2014,"dwelling_per_cap",0.454545454545455
"FR",2014,"energy_per_dwelling",0.0583608379463144
"FR",2014,"light_appliances",256473.155
"FR",2014,"occupied_dwellings",30141848.6363636
"FR",2014,"other",NA
"FR",2014,"space_cooling",4344.152
"FR",2014,"space_cooling_corrected",10752.9178491181
"FR",2014,"space_heating",1057551.936
"FR",2014,"space_heating_corrected",1234544.86082004
"FR",2014,"temperature_correction",0.895741389795274
"FR",2014,"total_bal",1575701.853
"FR",2014,"total_pop",66312067
"FR",2014,"total_res",1575701.853
"FR",2014,"total_res_corrected",1759103.54366915
"FR",2014,"water_heating",176018.546
"FR",2015,"CDD",77.11
"FR",2015,"CDD_norm",1.79759075221844
"FR",2015,"HDD",2255.7
"FR",2015,"HDD_norm",0.928596505719616
"FR",2015,"HH_size",2.2
"FR",2015,"cooking",92240.81
"FR",2015,"dwelling_per_cap",0.454545454545455
"FR",2015,"energy_per_dwelling",0.0582051269824889
"FR",2015,"light_appliances",261765.174
"FR",2015,"occupied_dwellings",30249214.5454545
"FR",2015,"other",NA
"FR",2015,"space_cooling",4594.705
"FR",2015,"space_cooling_corrected",2556.03506767577
"FR",2015,"space_heating",1145870.801
"FR",2015,"space_heating_corrected",1233981.38367106
"FR",2015,"temperature_correction",0.951113819048394
"FR",2015,"total_bal",1674587.461
"FR",2015,"total_pop",66548272
"FR",2015,"total_res",1674587.461
"FR",2015,"total_res_corrected",1760659.37373873
"FR",2015,"water_heating",177076.64
"FR",2016,"CDD",49.18
"FR",2016,"CDD_norm",1.14648571124501
"FR",2016,"HDD",2397.9
"FR",2016,"HDD_norm",0.987135506080183
"FR",2016,"HH_size",2.2
"FR",2016,"cooking",91604.686
"FR",2016,"dwelling_per_cap",0.454545454545455
"FR",2016,"energy_per_dwelling",0.0592828000077365
"FR",2016,"light_appliances",263149.347
"FR",2016,"occupied_dwellings",30329138.1818182
"FR",2016,"other",NA
"FR",2016,"space_cooling",5646.935
"FR",2016,"space_cooling_corrected",4925.42989817794
"FR",2016,"space_heating",1222939.145
"FR",2016,"space_heating_corrected",1238876.66634155
"FR",2016,"temperature_correction",0.991537236864888
"FR",2016,"total_bal",1782780.217
"FR",2016,"total_pop",66724104
"FR",2016,"total_res",1782780.217
"FR",2016,"total_res_corrected",1797996.23323973
"FR",2016,"water_heating",179568.477
"FR",2017,"CDD",67.92
"FR",2017,"CDD_norm",1.5833531823457
"FR",2017,"HDD",2336
"FR",2017,"HDD_norm",0.96165333925656
"FR",2017,"HH_size",2.2
"FR",2017,"cooking",93285.291
"FR",2017,"dwelling_per_cap",0.454545454545455
"FR",2017,"energy_per_dwelling",0.0588658701295546
"FR",2017,"light_appliances",265968.296
"FR",2017,"occupied_dwellings",30417281.8181818
"FR",2017,"other",NA
"FR",2017,"space_cooling",5626.905
"FR",2017,"space_cooling_corrected",3553.79018575242
"FR",2017,"space_heating",1187369.503
"FR",2017,"space_heating_corrected",1234716.7680174
"FR",2017,"temperature_correction",0.974714803220717
"FR",2017,"total_bal",1745265.611
"FR",2017,"total_pop",66918020
"FR",2017,"total_res",1745265.611
"FR",2017,"total_res_corrected",1790539.76120315
"FR",2017,"water_heating",182466.585
"FR",2018,"CDD",65.98
"FR",2018,"CDD_norm",1.53812784115384
"FR",2018,"HDD",2181.92
"FR",2018,"HDD_norm",0.898223738865871
"FR",2018,"HH_size",2.2
"FR",2018,"cooking",93705.226
"FR",2018,"dwelling_per_cap",0.454545454545455
"FR",2018,"energy_per_dwelling",0.0594753186863144
"FR",2018,"light_appliances",269235.914
"FR",2018,"occupied_dwellings",30526521.8181818
"FR",2018,"other",NA
"FR",2018,"space_cooling",6248.413
"FR",2018,"space_cooling_corrected",4062.34958682802
"FR",2018,"space_heating",1130947.01
"FR",2018,"space_heating_corrected",1259092.76393427
"FR",2018,"temperature_correction",0.930622685742003
"FR",2018,"total_bal",1689614.923
"FR",2018,"total_pop",67158348
"FR",2018,"total_res",1689614.923
"FR",2018,"total_res_corrected",1815574.61352109
"FR",2018,"water_heating",183106.749
"FR",2019,"CDD",87.94
"FR",2019,"CDD_norm",2.05006005382039
"FR",2019,"HDD",2246.95
"FR",2019,"HDD_norm",0.924994422364096
"FR",2019,"HH_size",2.1
"FR",2019,"cooking",92008.068
"FR",2019,"dwelling_per_cap",0.476190476190476
"FR",2019,"energy_per_dwelling",0.0552536656718489
"FR",2019,"light_appliances",265812.736
"FR",2019,"occupied_dwellings",32086695.7142857
"FR",2019,"other",NA
"FR",2019,"space_cooling",7153.477
"FR",2019,"space_cooling_corrected",3489.39875525556
"FR",2019,"space_heating",1130269.127
"FR",2019,"space_heating_corrected",1221919.93775623
"FR",2019,"temperature_correction",0.95037150575691
"FR",2019,"total_bal",1684920.825
"FR",2019,"total_pop",67382061
"FR",2019,"total_res",1684920.825
"FR",2019,"total_res_corrected",1772907.55751149
"FR",2019,"water_heating",182149.869
"FR",2020,"CDD",76.93
"FR",2020,"CDD_norm",1.79339458654085
"FR",2020,"HDD",2038.31
"FR",2020,"HDD_norm",0.839104288501729
"FR",2020,"HH_size",2.2
"FR",2020,"cooking",96204.034
"FR",2020,"dwelling_per_cap",0.454545454545455
"FR",2020,"energy_per_dwelling",0.0596258635571164
"FR",2020,"light_appliances",280384.621
"FR",2020,"occupied_dwellings",30727777.2727273
"FR",2020,"other",NA
"FR",2020,"space_cooling",9024.24
"FR",2020,"space_cooling_corrected",5031.9322182221
"FR",2020,"space_heating",1060672.888
"FR",2020,"space_heating_corrected",1264053.70885888
"FR",2020,"temperature_correction",0.891173589067623
"FR",2020,"total_bal",1632781.742
"FR",2020,"total_pop",67601110
"FR",2020,"total_res",1632781.742
"FR",2020,"total_res_corrected",1832170.2550771
"FR",2020,"water_heating",190653.124
"FR",2021,"CDD",30.7
"FR",2021,"CDD_norm",0.715679368345302
"FR",2021,"HDD",2412.69
"FR",2021,"HDD_norm",0.993224056117684
"FR",2021,"HH_size",2.2
"FR",2021,"cooking",90927.323
"FR",2021,"dwelling_per_cap",0.454545454545455
"FR",2021,"energy_per_dwelling",0.0582114671710901
"FR",2021,"light_appliances",275535.277
"FR",2021,"occupied_dwellings",30837641.3636364
"FR",2021,"other",NA
"FR",2021,"space_cooling",10075.12
"FR",2021,"space_cooling_corrected",14077.700777227
"FR",2021,"space_heating",1207640.305
"FR",2021,"space_heating_corrected",1215879.03309594
"FR",2021,"temperature_correction",0.993180725740165
"FR",2021,"total_bal",1782863.039
"FR",2021,"total_pop",67842811
"FR",2021,"total_res",1782863.039
"FR",2021,"total_res_corrected",1795104.34787317
"FR",2021,"water_heating",181888.811
