"geo","time","sector","GVA"
"DE",2010,"Basic metals",17541
"DE",2010,"Chemical and petrochem.",59756
"DE",2010,"Coke and ref. pet. products",7136
"DE",2010,"Construction",94401
"DE",2010,"Food, bev. and tobacco",37701
"DE",2010,"Machinery",190490
"DE",2010,"Mining and quarrying",5230
"DE",2010,"Non-metallic minerals",37435
"DE",2010,"Other manufacturing",20714
"DE",2010,"Paper, pulp and printing",17908
"DE",2010,"Textile and leather",6920
"DE",2010,"Transport equipment",93603
"DE",2010,"Wood and wood products",6115
"DE",2011,"Basic metals",19759.3
"DE",2011,"Chemical and petrochem.",61099.3
"DE",2011,"Coke and ref. pet. products",6866.8
"DE",2011,"Construction",97647.4
"DE",2011,"Food, bev. and tobacco",36627.5
"DE",2011,"Machinery",213108.7
"DE",2011,"Mining and quarrying",4820
"DE",2011,"Non-metallic minerals",41663.2
"DE",2011,"Other manufacturing",22673
"DE",2011,"Paper, pulp and printing",17923
"DE",2011,"Textile and leather",7541.1
"DE",2011,"Transport equipment",107081.5
"DE",2011,"Wood and wood products",6001.2
"DE",2012,"Basic metals",20441.9
"DE",2012,"Chemical and petrochem.",59203.3
"DE",2012,"Coke and ref. pet. products",6349.6
"DE",2012,"Construction",96855.4
"DE",2012,"Food, bev. and tobacco",34773.5
"DE",2012,"Machinery",209231.3
"DE",2012,"Mining and quarrying",4689.2
"DE",2012,"Non-metallic minerals",40775.3
"DE",2012,"Other manufacturing",21884.3
"DE",2012,"Paper, pulp and printing",18831.3
"DE",2012,"Textile and leather",6992.9
"DE",2012,"Transport equipment",106729.9
"DE",2012,"Wood and wood products",5659.9
"DE",2013,"Basic metals",20651
"DE",2013,"Chemical and petrochem.",58732.2
"DE",2013,"Coke and ref. pet. products",7142
"DE",2013,"Construction",96014.4
"DE",2013,"Food, bev. and tobacco",34428.9
"DE",2013,"Machinery",208666.6
"DE",2013,"Mining and quarrying",4143.7
"DE",2013,"Non-metallic minerals",41143.3
"DE",2013,"Other manufacturing",20755.4
"DE",2013,"Paper, pulp and printing",18409.4
"DE",2013,"Textile and leather",6789.5
"DE",2013,"Transport equipment",108244.5
"DE",2013,"Wood and wood products",5607.4
