"geo","time","activity_effect","structural_effect","intensity_effect","energy_consumption_var_obs","value_energy_consumption_total_baseline","value_energy_consumption_total_end","energy_consumption_var_calc"
"DE",2000,0,0,0,0,3818329.429,3818329.429,0
"DE",2001,8439.34495479573,-8717.5526780794,7046.54472328403,6768.33699999982,3818329.429,3825097.766,6768.33700000036
"DE",2002,3918.14829422001,-55561.250912037,67698.773617818,16055.6709999996,3818329.429,3834385.1,16055.671000001
"DE",2003,-29427.8051252552,-97952.4784490816,536003.586574337,408623.302999999,3818329.429,4226952.732,408623.303
"DE",2004,-7285.74019329819,-146511.383801205,593994.198994504,440197.074999999,3818329.429,4258526.504,440197.075000001
"DE",2005,-3912.50294948514,-190035.930796068,630613.319745554,436664.885999999,3818329.429,4254994.315,436664.886
"DE",2006,28001.653873016,-236547.532872229,804613.060999214,596067.182,3818329.429,4414396.611,596067.182000001
"DE",2007,95815.2740480302,-251262.847458904,629349.133410874,473901.56,3818329.429,4292230.989,473901.56
"DE",2008,158993.428259773,-227524.80851847,644756.462258697,576225.082,3818329.429,4394554.511,576225.082
"DE",2009,156262.511282702,-268383.199878618,347741.497595917,235620.809,3818329.429,4053950.238,235620.809000001
"DE",2010,180728.683775246,-338103.376737394,700222.655962148,542847.963,3818329.429,4361177.392,542847.963
"DE",2011,221999.046339555,-323483.04335336,500298.412013805,398814.414999999,3818329.429,4217143.844,398814.414999999
"DE",2012,269530.126364517,-307883.682817582,456746.785453066,418393.229,3818329.429,4236722.658,418393.229000001
"DE",2013,301729.867695468,-315780.58245887,490452.993763403,476402.278999999,3818329.429,4294731.708,476402.279000001
"DE",2014,332538.47623557,-325206.485726112,322119.785490542,329451.776,3818329.429,4147781.205,329451.776
"DE",2015,374221.072722433,-342154.404107886,389195.218385453,421261.886999999,3818329.429,4239591.316,421261.887
"DE",2016,427506.679552321,-371585.06244433,394729.115892009,450650.732999999,3818329.429,4268980.162,450650.733
"DE",2017,480740.116877001,-379696.333200216,312763.933323215,413807.716999998,3818329.429,4232137.146,413807.716999999
"DE",2018,526846.980023097,-380002.233701848,207213.799678751,354058.546,3818329.429,4172387.975,354058.546
"DE",2019,550667.966081075,-381238.419469376,24312.1743883004,193741.720999999,3818329.429,4012071.15,193741.720999999
"DE",2020,512026.352077535,-411678.90421702,6953.2471394849,107300.694999999,3818329.429,3925630.124,107300.695
"DE",2021,529367.652200109,-450943.719143376,221081.313943266,299505.246999999,3818329.429,4117834.676,299505.247
