"geo","time","VKM","mode"
"NL",2012,NA,"Navigation"
"NL",2012,NA,"Rail"
"NL",2012,NA,"Road"
"NL",2013,1.31766e+11,"Road"
"NL",2013,NA,"Navigation"
"NL",2013,NA,"Rail"
"NL",2014,1.32198e+11,"Road"
"NL",2014,NA,"Navigation"
"NL",2014,NA,"Rail"
"NL",2015,1.34129e+11,"Road"
"NL",2015,NA,"Navigation"
"NL",2015,NA,"Rail"
"NL",2016,1.37838e+11,"Road"
"NL",2016,NA,"Navigation"
"NL",2016,NA,"Rail"
